year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1868,4,-0.30799,0.14070,0.04036,0.08770,0.02720,0.09868,-0.35700,-0.24850
1868,5,-0.38213,0.15226,0.03163,0.11012,0.02849,0.09614,-0.43300,-0.32050
1868,6,-0.72198,0.14308,0.03566,0.07813,0.02648,0.11132,-0.76750,-0.65950
1868,7,-0.42022,0.14890,0.03418,0.11707,0.02736,0.08092,-0.46750,-0.35750
1868,8,-0.28752,0.14095,0.03393,0.09318,0.02737,0.09636,-0.33500,-0.22500
1868,9,-0.16613,0.13368,0.02976,0.10905,0.02379,0.06729,-0.20700,-0.11400
1868,10,-0.23756,0.13428,0.03285,0.10056,0.02218,0.07967,-0.27650,-0.18800
1868,11,-0.21794,0.13627,0.03190,0.10662,0.01890,0.07633,-0.25150,-0.17550
1868,12,-0.27406,0.13575,0.03612,0.10188,0.01902,0.07989,-0.30850,-0.23050
1869,1,-0.39192,0.13353,0.03592,0.07973,0.01828,0.09924,-0.42450,-0.35200
1869,2,-0.20964,0.14076,0.04057,0.09900,0.02181,0.08883,-0.24950,-0.16150
1869,3,-0.51684,0.13624,0.03514,0.09169,0.02381,0.09139,-0.56000,-0.46550
1869,4,-0.25445,0.13375,0.03466,0.08699,0.02461,0.09228,-0.29850,-0.20050
1869,5,-0.53860,0.14314,0.04110,0.09170,0.02495,0.09883,-0.58350,-0.48100
1869,6,-0.58218,0.12694,0.03497,0.06756,0.02809,0.09766,-0.63100,-0.51400
1869,7,-0.58881,0.14604,0.03618,0.07663,0.02741,0.11574,-0.63600,-0.52750
1869,8,-0.36777,0.14488,0.03355,0.07903,0.02570,0.11384,-0.41100,-0.31250
1869,9,-0.32852,0.11388,0.03246,0.08400,0.02297,0.06580,-0.36850,-0.27900
1869,10,-0.35274,0.10102,0.03456,0.06978,0.02070,0.06093,-0.38950,-0.30850
1869,11,-0.30817,0.12250,0.03565,0.07565,0.01819,0.08764,-0.34150,-0.26700
1869,12,-0.38245,0.11325,0.03112,0.06956,0.01840,0.08173,-0.41600,-0.34050
1870,1,-0.25459,0.10351,0.03108,0.06170,0.01927,0.07463,-0.28850,-0.21300
1870,2,-0.38349,0.09148,0.03236,0.06135,0.02158,0.05561,-0.42100,-0.33600
1870,3,-0.38050,0.10665,0.03765,0.07428,0.02181,0.06295,-0.41900,-0.33300
1870,4,-0.17471,0.13174,0.03849,0.08519,0.02344,0.08982,-0.21600,-0.12300
1870,5,-0.44220,0.11011,0.03528,0.06256,0.02556,0.07945,-0.48750,-0.38250
1870,6,-0.48175,0.10007,0.03694,0.05334,0.02482,0.07203,-0.52500,-0.42400
1870,7,-0.13144,0.11328,0.03504,0.06815,0.02416,0.07985,-0.17400,-0.07550
1870,8,-0.28725,0.11192,0.03282,0.06249,0.02591,0.08291,-0.33200,-0.23000
1870,9,-0.39511,0.11896,0.03475,0.07933,0.02266,0.07834,-0.43350,-0.34550
1870,10,-0.46197,0.12725,0.03604,0.07285,0.02183,0.09545,-0.50000,-0.41400
1870,11,-0.25996,0.10638,0.03780,0.06122,0.01831,0.07619,-0.29350,-0.21800
1870,12,-0.30274,0.11996,0.03180,0.08434,0.01683,0.07735,-0.33400,-0.26200
1871,1,-0.21978,0.11050,0.03751,0.07029,0.01777,0.07447,-0.25250,-0.18150
1871,2,-0.14131,0.12952,0.04007,0.09012,0.01918,0.08174,-0.17650,-0.10000
1871,3,-0.03888,0.10721,0.03520,0.07864,0.02195,0.05991,-0.07850,0.00850
1871,4,-0.29848,0.10116,0.03544,0.07944,0.02319,0.04615,-0.34000,-0.24750
1871,5,-0.31202,0.11441,0.03668,0.08917,0.02317,0.05707,-0.35350,-0.25850
1871,6,-0.29016,0.12308,0.03520,0.08583,0.02346,0.07740,-0.33300,-0.23100
1871,7,-0.15486,0.10580,0.03668,0.05957,0.02460,0.07547,-0.19800,-0.09800
1871,8,-0.37108,0.11458,0.03298,0.07990,0.02440,0.07114,-0.41150,-0.31600
1871,9,-0.36931,0.11291,0.03619,0.07242,0.02236,0.07546,-0.40700,-0.31950
1871,10,-0.50944,0.12517,0.03530,0.06868,0.02084,0.09629,-0.54600,-0.46200
1871,11,-0.09606,0.11647,0.03401,0.08046,0.01646,0.07526,-0.12700,-0.05900
1871,12,-0.29967,0.10384,0.03148,0.06979,0.01647,0.06819,-0.33000,-0.25950
1872,1,-0.30250,0.09974,0.03181,0.07239,0.01746,0.05823,-0.33450,-0.26550
1872,2,-0.19444,0.12458,0.04176,0.09011,0.02087,0.07225,-0.23150,-0.14950
1872,3,-0.39949,0.11518,0.03908,0.08715,0.02088,0.06090,-0.43750,-0.35500
1872,4,-0.30730,0.12095,0.03518,0.08482,0.02223,0.07552,-0.34850,-0.25750
1872,5,-0.20198,0.10355,0.03139,0.07041,0.02326,0.06510,-0.24250,-0.14600
1872,6,-0.40567,0.09853,0.03169,0.06059,0.02411,0.06672,-0.44750,-0.34600
1872,7,-0.25666,0.11566,0.03644,0.06397,0.02475,0.08570,-0.29850,-0.19900
1872,8,-0.19142,0.11640,0.03323,0.07677,0.02542,0.07685,-0.23050,-0.13200
1872,9,-0.33199,0.11208,0.03185,0.07868,0.02357,0.06929,-0.36900,-0.27750
1872,10,-0.31981,0.10327,0.03248,0.07177,0.02072,0.06348,-0.35450,-0.27300
1872,11,-0.04482,0.10733,0.03593,0.06695,0.01818,0.07360,-0.07750,-0.00150
1872,12,-0.26558,0.09912,0.03289,0.06930,0.01578,0.06076,-0.29400,-0.22750
1873,1,-0.07828,0.10414,0.03297,0.07573,0.01684,0.06116,-0.10900,-0.03900
1873,2,-0.18489,0.10962,0.03686,0.07933,0.01994,0.06298,-0.22050,-0.13850
1873,3,-0.18389,0.10823,0.03651,0.08228,0.01966,0.05677,-0.21900,-0.13850
1873,4,-0.32438,0.11613,0.03465,0.07812,0.02037,0.07595,-0.36200,-0.27750
1873,5,-0.29755,0.11438,0.03711,0.07188,0.02296,0.07754,-0.33950,-0.24200
